State,STUSPS,Total_2023_Pilots,Total_2023_Student_Pilot_Cert,Total_2023_Private_Pilot_Cert,Total_2023_Commcercial_Pilot_Cert,Total_2023_Airline_Transport_Pilot_Cert,Total_2023_Flight_Instructor_Cert,2023_Male_Pilots,2023_Male_Student_Pilot_Cert,2023_Male_Private_Pilot_Cert,2023_Male_Commcercial_Pilot_Cert,2023_Male_Airline_Transport_Pilot_Cert,2023_Male_Flight_Instructor_Cert,2023_Women_Total_Pilots,2023_Women_Student_Pilot,2023_Women_Private_Pilot,2023_Women_Commercial_Pilot,2023_Women_Airline_Transport_Pilot,2023_Women_Flight_Instructor,Total_2022_Pilots,Total_2022_Student_Pilot_Cert,Total_2022_Private_Pilot_Cert,Total_2022_Commcercial_Pilot_Cert,Total_2022_Airline_Transport_Pilot_Cert,Total_2022_Flight_Instructor_Cert,2022_Male_Pilots,2022_Male_Student_Pilot_Cert,2022_Male_Private_Pilot_Cert,2022_Male_Commcercial_Pilot_Cert,2022_Male_Airline_Transport_Pilot_Cert,2022_Male_Flight_Instructor_Cert,2022_Women_Total_Pilots,2022_Women_Student_Pilot,2022_Women_Private_Pilot,2022_Women_Commercial_Pilot,2022_Women_Airline_Transport_Pilot,2022_Women_Flight_Instructor,Total_2021_Pilots,Total_2021_Student_Pilot_Cert,Total_2021_Private_Pilot_Cert,Total_2021_Commcercial_Pilot_Cert,Total_2021_Airline_Transport_Pilot_Cert,Total_2021_Flight_Instructor_Cert,2021_Male_Pilots,2021_Male_Student_Pilot_Cert,2021_Male_Private_Pilot_Cert,2021_Male_Commcercial_Pilot_Cert,2021_Male_Airline_Transport_Pilot_Cert,2021_Male_Flight_Instructor_Cert,2021_Women_Total_Pilots,2021_Women_Student_Pilot,2021_Women_Private_Pilot,2021_Women_Commercial_Pilot,2021_Women_Airline_Transport_Pilot,2021_Women_Flight_Instructor,Total_2020_Pilots,Total_2020_Student_Pilot_Cert,Total_2020_Private_Pilot_Cert,Total_2020_Commcercial_Pilot_Cert,Total_2020_Airline_Transport_Pilot_Cert,Total_2020_Flight_Instructor_Cert,2020_Male_Pilots,2020_Male_Student_Pilot_Cert,2020_Male_Private_Pilot_Cert,2020_Male_Commcercial_Pilot_Cert,2020_Male_Airline_Transport_Pilot_Cert,2020_Male_Flight_Instructor_Cert,2020_Women_Total_Pilots,2020_Women_Student_Pilot,2020_Women_Private_Pilot,2020_Women_Commercial_Pilot,2020_Women_Airline_Transport_Pilot,2020_Women_Flight_Instructor,Total_2019_Pilots,Total_2019_Student_Pilot_Cert,Total_2019_Private_Pilot_Cert,Total_2019_Commcercial_Pilot_Cert,Total_2019_Airline_Transport_Pilot_Cert,Total_2019_Flight_Instructor_Cert,2019_Male_Pilots,2019_Male_Student_Pilot_Cert,2019_Male_Private_Pilot_Cert,2019_Male_Commcercial_Pilot_Cert,2019_Male_Airline_Transport_Pilot_Cert,2019_Male_Flight_Instructor_Cert,2019_Women_Total_Pilots,2019_Women_Student_Pilot,2019_Women_Private_Pilot,2019_Women_Commercial_Pilot,2019_Women_Airline_Transport_Pilot,2019_Women_Flight_Instructor,Total_2018_Pilots,Total_2018_Student_Pilot_Cert,Total_2018_Private_Pilot_Cert,Total_2018_Commcercial_Pilot_Cert,Total_2018_Airline_Transport_Pilot_Cert,Total_2018_Flight_Instructor_Cert,2018_Male_Pilots,2018_Male_Student_Pilot_Cert,2018_Male_Private_Pilot_Cert,2018_Male_Commcercial_Pilot_Cert,2018_Male_Airline_Transport_Pilot_Cert,2018_Male_Flight_Instructor_Cert,2018_Women_Total_Pilots,2018_Women_Student_Pilot,2018_Women_Private_Pilot,2018_Women_Commercial_Pilot,2018_Women_Airline_Transport_Pilot,2018_Women_Flight_Instructor
Alabama,AL,9934,3111,2619,1774,2430,1636,8564,2395,2309,1606,2254,1456,1370,716,310,168,176,180,9396,2706,2617,1741,2332,1609,8166,2082,2333,1588,2163,1438,1230,624,284,153,169,171,9096,2465,2667,1686,2278,1565,7996,1940,2390,1547,2119,1419,1100,525,277,139,159,146,8738,2239,2575,1666,2258,1511,7729,1780,2315,1532,2102,1380,1009,459,260,134,156,131,8526,1986,2589,1679,2272,1464,7596,1578,2338,1562,2118,1339,930,408,251,117,154,125,8243,1748,2612,1635,2248,1449,7399,1381,2387,1530,2101,1321,844,367,225,105,147,128
Alaska,AK,6366,2573,1963,985,845,927,5824,2232,1851,927,814,871,542,341,112,58,31,56,9455,3682,2197,1986,1590,1734,8673,3170,2060,1899,1544,1660,782,512,137,87,46,74,8884,3241,2159,1957,1527,1732,8210,2809,2037,1875,1489,1661,674,432,122,82,38,71,8477,2863,2100,1966,1548,1728,7894,2506,1986,1891,1511,1669,583,357,114,75,37,59,7989,2417,2068,1959,1545,1670,7484,2118,1967,1888,1511,1611,505,299,101,71,34,59,7624,2004,2092,1998,1530,1634,7207,1773,2007,1932,1495,1587,417,231,85,66,35,47
Arizona,AZ,8501,3249,2476,1339,1437,1427,7743,2758,2327,1272,1386,1339,758,491,149,67,51,88,26116,9216,5345,5495,6060,5147,23638,7929,4878,5072,5759,4674,2478,1287,467,423,301,473,25032,7955,5217,5793,6067,4996,22877,6869,4835,5398,5775,4577,2155,1086,382,395,292,419,23982,6826,5423,5771,5962,4796,22072,5943,4997,5451,5681,4415,1910,883,426,320,281,381,22605,6282,5279,5086,5958,4510,20934,5517,4925,4807,5685,4162,1671,765,354,279,273,348,20338,5008,5066,4437,5827,4197,18900,4400,4738,4187,5575,3880,1438,608,328,250,252,317
Arkansas,AR,8599,3395,1829,1091,2284,1433,7784,2896,1694,1016,2178,1335,815,499,135,75,106,98,6778,2920,1714,1132,1012,879,6232,2535,1614,1096,987,837,546,385,100,36,25,42,6436,2617,1710,1115,994,895,5937,2272,1619,1078,968,853,499,345,91,37,26,42,6063,2289,1725,1076,973,854,5639,2004,1635,1051,949,816,424,285,90,25,24,38,5690,1977,1660,1076,977,826,5326,1747,1581,1046,952,794,364,230,79,30,25,32,5357,1625,1653,1097,982,796,5051,1448,1580,1069,954,764,306,177,73,28,28,32
California,CA,12422,5242,3138,1873,2169,1888,11177,4433,2916,1733,2095,1757,1245,809,222,140,74,131,71222,28278,19887,10963,12094,10476,63549,23764,18373,10053,11359,9439,7673,4514,1514,910,735,1037,68291,25562,19641,11077,12011,10353,61221,21488,18218,10199,11316,9365,7070,4074,1423,878,695,988,65982,22911,19739,11099,12233,10181,59513,19365,18352,10265,11531,9254,6469,3546,1387,834,702,927,63782,20449,20019,10753,12561,10001,57883,17366,18679,10003,11835,9140,5899,3083,1340,750,726,861,61261,17395,20524,10685,12657,9764,55924,14854,19179,9943,11948,8942,5337,2541,1345,742,709,822
Colorado,CO,4597,1946,1241,713,697,659,4201,1669,1176,675,681,615,396,277,65,38,16,44,22984,7360,5172,3467,6985,4611,20386,6053,4709,3147,6477,4148,2598,1307,463,320,508,463,21840,6669,4946,3342,6883,4405,19480,5522,4529,3025,6404,3978,2360,1147,417,317,479,427,20821,5926,4791,3231,6873,4219,18679,4928,4404,2937,6410,3828,2142,998,387,294,463,391,19801,5222,4612,3136,6831,4072,17862,4357,4254,2878,6373,3727,1939,865,358,258,458,345,18741,4359,4689,3114,6579,3936,17042,3651,4356,2889,6146,3614,1699,708,333,225,433,322
Connecticut,CT,18953,7202,3887,2772,5092,3392,17117,6071,3599,2585,4862,3151,1836,1131,288,187,230,241,5343,1844,1409,762,1328,917,4893,1586,1321,721,1265,844,450,258,88,41,63,73,5094,1664,1395,737,1298,882,4687,1438,1319,692,1238,812,407,226,76,45,60,70,4915,1456,1401,729,1329,860,4550,1262,1326,687,1275,798,365,194,75,42,54,62,4818,1271,1453,739,1355,859,4475,1102,1376,697,1300,792,343,169,77,42,55,67,4840,1107,1579,742,1412,878,4534,968,1502,701,1363,812,306,139,77,41,49,66
Delaware,DE,5650,2064,1469,775,1342,930,5134,1767,1366,725,1276,860,516,297,103,50,66,70,1620,620,334,217,449,294,1466,528,312,201,425,271,154,92,22,16,24,23,1538,556,330,215,437,277,1399,472,309,203,415,256,139,84,21,12,22,21,1480,485,342,213,440,280,1348,406,320,202,420,260,132,79,22,11,20,20,1457,434,348,221,454,278,1332,362,328,210,432,260,125,72,20,11,22,18,1385,365,368,223,429,272,1279,304,349,216,410,259,106,61,19,7,19,13
District_of_Columbia,DC,1731,706,334,222,469,308,1563,604,306,210,443,285,168,102,28,12,26,23,786,339,211,83,153,111,693,273,197,76,147,102,93,66,14,7,6,9,732,298,208,85,141,103,651,240,194,81,136,96,81,58,14,4,5,7,681,271,194,76,140,108,608,217,185,72,134,98,73,54,9,4,6,10,651,244,195,71,141,106,579,193,186,66,134,94,72,51,9,5,7,12,640,214,209,85,132,109,573,175,194,77,127,98,67,39,15,8,5,11
Florida,FL,869,382,226,90,171,124,760,304,212,78,166,112,109,78,14,12,5,12,78764,29293,14665,12847,21959,13885,70920,24738,13469,11750,20963,12734,7844,4555,1196,1097,996,1151,74935,26531,14388,12841,21175,13299,67881,22539,13264,11819,20259,12251,7054,3992,1124,1022,916,1048,71895,24357,14401,12565,20572,12710,65454,20745,13338,11650,19721,11758,6441,3612,1063,915,851,952,68325,22225,14186,11691,20223,11943,62607,19096,13210,10889,19412,11071,5718,3129,976,802,811,872,62870,18730,13774,10942,19424,10951,58066,16242,12848,10303,18673,10216,4804,2488,926,639,751,735
Georgia,GA,2912,1106,779,450,577,417,2623,920,734,419,550,383,289,186,45,31,27,34,23708,8408,5033,2926,7341,4270,21551,7083,4691,2733,7044,3968,2157,1325,342,193,297,302,22495,7208,4952,2877,7458,4138,20603,6107,4628,2694,7174,3850,1892,1101,324,183,284,288,21329,6217,4761,2763,7588,4026,19663,5268,4491,2603,7301,3760,1666,949,270,160,287,266,20388,5397,4643,2691,7657,3863,18937,4594,4420,2562,7361,3622,1451,803,223,129,296,241,19262,4479,4585,2634,7564,3627,18037,3863,4386,2520,7268,3404,1225,616,199,114,296,223
Hawaii,HI,10276,4902,2198,1332,1844,1554,9040,4042,2014,1218,1766,1429,1236,860,184,114,78,125,4351,1472,677,798,1404,858,3645,1126,561,677,1281,739,706,346,116,121,123,119,4048,1255,661,771,1361,802,3437,961,559,662,1255,698,611,294,102,109,106,104,3876,1147,619,741,1369,782,3326,889,539,640,1258,685,550,258,80,101,111,97,3684,1011,579,722,1372,797,3184,790,502,632,1260,705,500,221,77,90,112,92,3405,855,554,709,1287,760,2981,673,482,637,1189,680,424,182,72,72,98,80
Idaho,ID,10047,4588,2539,1186,1734,1370,8997,3916,2337,1102,1642,1264,1050,672,202,84,92,106,7197,2477,2018,1230,1472,1307,6539,2129,1861,1151,1398,1207,658,348,157,79,74,100,6734,2165,1963,1197,1409,1222,6133,1855,1816,1115,1347,1124,601,310,147,82,62,98,6213,1862,1845,1160,1346,1128,5677,1601,1703,1081,1292,1043,536,261,142,79,54,85,5840,1618,1809,1124,1289,1075,5367,1397,1679,1052,1239,996,473,221,130,72,50,79,5311,1303,1726,1095,1187,987,4915,1131,1609,1038,1137,915,396,172,117,57,50,72
Illinois,IL,4635,1537,1032,606,1460,921,4211,1308,967,549,1387,840,424,229,65,57,73,81,19259,7284,4770,2525,4680,3679,17369,6179,4463,2325,4402,3347,1890,1105,307,200,278,332,18464,6484,4679,2622,4679,3626,16748,5542,4385,2425,4396,3317,1716,942,294,197,283,309,17935,5779,4776,2575,4805,3596,16398,4980,4493,2409,4516,3306,1537,799,283,166,289,290,17401,5048,4840,2545,4968,3591,16004,4360,4582,2390,4672,3314,1397,688,258,155,296,277,16796,4226,5090,2568,4912,3480,15568,3687,4840,2417,4624,3214,1228,539,250,151,288,266
Indiana,IN,11628,4951,2693,1518,2466,1853,10464,4229,2505,1392,2338,1704,1164,722,188,126,128,149,13109,5240,3448,1765,2656,2149,11896,4513,3192,1654,2537,1991,1213,727,256,111,119,158,12340,4546,3400,1816,2578,2070,11279,3926,3182,1702,2469,1926,1061,620,218,114,109,144,11625,3900,3477,1709,2539,1935,10682,3371,3270,1613,2428,1808,943,529,207,96,111,127,10862,3369,3370,1614,2509,1879,10035,2928,3180,1525,2402,1759,827,441,190,89,107,120,10187,2826,3282,1648,2431,1788,9475,2468,3113,1565,2329,1668,712,358,169,83,102,120
Iowa,IA,20626,9739,4756,2802,3329,2980,18469,8262,4444,2597,3166,2767,2157,1477,312,205,163,213,6003,2298,1907,967,831,896,5509,1982,1813,907,807,839,494,316,94,60,24,57,5679,2015,1923,940,801,872,5255,1756,1839,884,776,820,424,259,84,56,25,52,5453,1830,1917,905,801,858,5069,1614,1826,854,775,812,384,216,91,51,26,46,5286,1637,1942,909,798,850,4923,1434,1853,863,773,807,363,203,89,46,25,43,5090,1358,2046,927,759,825,4767,1196,1951,881,739,788,323,162,95,46,20,37
Kansas,KS,20882,7596,4904,3048,5334,3737,18887,6474,4534,2803,5076,3448,1995,1122,370,245,258,289,8095,2968,2452,1299,1376,1379,7425,2548,2308,1242,1327,1299,670,420,144,57,49,80,7712,2690,2415,1253,1354,1390,7096,2311,2285,1196,1304,1313,616,379,130,57,50,77,7399,2408,2412,1234,1345,1366,6841,2068,2301,1173,1299,1290,558,340,111,61,46,76,7159,2102,2456,1225,1376,1368,6639,1815,2330,1167,1327,1288,520,287,126,58,49,80,7044,1790,2622,1264,1368,1385,6572,1561,2485,1209,1317,1304,472,229,137,55,51,81
Kentucky,KY,19542,7810,4578,2601,4553,3279,17670,6652,4259,2406,4353,3044,1872,1158,319,195,200,235,8001,2973,1762,1054,2212,1333,7284,2539,1652,978,2115,1247,717,434,110,76,97,86,7449,2598,1702,987,2162,1262,6819,2225,1594,932,2068,1188,630,373,108,55,94,74,6979,2230,1667,919,2163,1213,6425,1913,1575,865,2072,1145,554,317,92,54,91,68,6588,1908,1602,895,2183,1167,6094,1645,1516,837,2096,1107,494,263,86,58,87,60,6180,1543,1641,856,2140,1083,5764,1330,1555,816,2063,1033,416,213,86,40,77,50
Louisiana,LA,1297,601,287,172,237,168,1154,501,270,159,224,156,143,100,17,13,13,12,6486,2677,1536,1109,1164,965,5961,2314,1458,1057,1132,911,525,363,78,52,32,54,6147,2352,1546,1098,1151,963,5688,2045,1474,1049,1120,910,459,307,72,49,31,53,5975,2113,1590,1098,1174,944,5563,1851,1510,1059,1143,898,412,262,80,39,31,46,5772,1852,1606,1116,1198,943,5413,1630,1533,1084,1166,907,359,222,73,32,32,36,5465,1521,1626,1121,1197,907,5156,1340,1561,1086,1169,870,309,181,65,35,28,37
Maine,ME,1650,667,457,275,251,253,1437,536,412,263,226,232,213,131,45,12,25,21,2823,1006,811,443,563,403,2560,839,767,418,536,372,263,167,44,25,27,31,2697,894,768,479,556,411,2463,743,733,456,531,384,234,151,35,23,25,27,2611,816,779,477,539,409,2404,685,748,457,514,382,207,131,31,20,25,27,2540,726,804,476,534,406,2349,613,773,454,509,379,191,113,31,22,25,27,2444,589,852,470,533,395,2264,497,812,449,506,367,180,92,40,21,27,28
Maryland,MD,18746,7365,4066,2689,4626,3254,16776,6129,3770,2512,4365,2994,1970,1236,296,177,261,260,9728,4425,2228,1308,1767,1473,8631,3670,2059,1202,1700,1367,1097,755,169,106,67,106,9284,3993,2208,1321,1762,1453,8289,3309,2063,1217,1700,1345,995,684,145,104,62,108,8843,3538,2204,1331,1770,1420,7954,2961,2056,1237,1700,1315,889,577,148,94,70,105,8577,3247,2199,1321,1810,1421,7740,2720,2046,1237,1737,1322,837,527,153,84,73,99,8248,2887,2235,1272,1854,1399,7489,2418,2100,1189,1782,1308,759,469,135,83,72,91
Massachusetts,MA,2329,1095,571,323,340,330,2093,932,534,302,325,307,236,163,37,21,15,23,9439,4108,2534,1136,1661,1290,8540,3545,2368,1052,1575,1188,899,563,166,84,86,102,8894,3634,2518,1148,1594,1272,8094,3154,2355,1071,1514,1174,800,480,163,77,80,98,8605,3251,2526,1215,1613,1255,7877,2845,2365,1135,1532,1162,728,406,161,80,81,93,8248,2806,2630,1203,1609,1202,7579,2458,2466,1129,1526,1113,669,348,164,74,83,89,7968,2371,2730,1220,1647,1198,7361,2091,2568,1142,1560,1112,607,280,162,78,87,86
